"OriginalEnglish","Translation","Locations"
"See Planner tasks in Microsoft To-Do","Viz Plánování úkolů v microsoft to-do",
"Create a plan with Planner in Teams","Vytvoření plánu pomocí Plánovače v Teams",
"Create a new plan in the same group","Vytvoření nového plánu ve stejné skupině",
"To Do vs. Planner","Chcete-ě- dělat vs. plánovač",
"Publish content","Publikování obsahu",
"Build your plan","Vytvořte si plán",
"View plan and get updates","Zobrazení plánu a získání aktualizací",
"Track a process","Sledování procesu",
"Create a plan","Vytvoření plánu",
"See your Planner schedule in Outlook calendar","Zobrazení plánu plánovače v kalendáři Outlooku",
"Support customers","Podpora zákazníků",
"Manage tasks","Správa úkolů",
"Check your form results","Kontrola výsledků formuláře",
"Send and collect responses for your form","Odesílání a shromažďování odpovědí na formulář",
"View results","Zobrazit výsledky",
"Share a form","Sdílení formuláře",
"Create a form","Vytvoření formuláře",
"Share a form to get responses","Sdílení formuláře pro získání odpovědí",
"Share a form or quiz as a template","Sdílení formuláře nebo kvízu jako šablony",
"View results of your form","Zobrazení výsledků formuláře",
"Send an email receipt of responses","Odeslání e-mailového potvrzení odpovědí",
"Create a new form or quiz","Vytvoření nového formuláře nebo kvízu",
"Create a new quiz","Vytvoření nového kvízu",
"Add sections to your survey or questionnaire","Přidání oddílů do průzkumu nebo dotazníku",
"Check your quiz results","Kontrola výsledků kvízu",
"Use branching logic in your form","Použití logiky větvení ve formuláři",
"Forms Frequently Asked Questions","Často kladené formuláře",
"Outlook calendar search","Hledání kalendáře Outlooku",
"Outlook Android widgets","Widgety Outlooku pro Android",
"Manage your notifications","Správa oznámení",
"Merge or combine calendars","Sloučení nebo kombinování kalendářů",
"Add folders & groups to Favorites","Přidání složek a skupin do oblíbených",
"Learn about contacts","Informace o kontaktech",
"Favorite contacts & set notifications","Oblíbené kontakty & nastavení oznámení",
"Search email attachments","Hledání příloh e-mailů",
"Focused Inbox email filter","Filtr e-mailů s cílené doručené pošty",
"Meeting location assistant","Asistent místa schůzky",
"10 top Outlook mobile tips","10 nejlepších tipů pro Outlook mobile",
"Swipe right & manage inbox","Přejeďte prstem doprava & Spravovat doručenou poštu",
"Scheduling made easy","Snadné plánování",
"Calendar sharing","Sdílení kalendáře",
"Use @mentions","Použijte @mentions",
"Outlook training","Školení k Outlooku",
"RSVP to invites instantly","RsVP na pozvánky okamžitě",
"Scan or tap to add contacts","Skenování nebo klepnutím pro přidání kontaktů",
"Search made simple","Jednoduché vyhledávání",
"Share files and photos","Sdílení souborů a fotografií",
"Send meeting availability","Odeslat dostupnost schůzky",
"What is OneNote?","Co je OneNote?",
"OneNote on iOS","OneNote v iOS",
"Share and stay organized","Sdílení a organizace",
"Create more room in your notebook","Vytvoření většího místa v poznámkovém bloku",
"OneNote for Android","OneNote pro Android",
"Start using OneNote","Zahájení používání OneNotu",
"Draw and sketch","Kreslení a skica",
"Create a notebook","Vytvoření poznámkového bloku",
"Insert pictures, files, and videos","Vkládání obrázků, souborů a videí",
"Insert and format tables","Vložení a formátování tabulek",
"Share your notes with others","Sdílení poznámek s ostatními",
"Create shapes","Vytváření obrazců",
"Password-protect private notes","Soukromé poznámky chráněné heslem",
"Take notes","Posudky",
"Format notes","Formátování poznámek",
"OneNote Online","OneNote Online",
"Search and find notes","Hledání a hledání poznámek",
"Format pages","Formátování stránek",
"Organize your notebooks","Uspořádání poznámkových bloků",
"Use charts and graphs in your presentation","Použití grafů a grafů v prezentaci",
"Change the page orientation in PowerPoint between landscape and portrait","Změna orientace stránky v PowerPointu mezi na šířkou a na výšku",
"Add WordArt to a slide","Přidání WordArtu na snímek",
"Group or ungroup objects","Seskupení nebo oddělení objektů",
"Add a watermark to your slides","Přidání vodoznaku na snímky",
"Insert Excel data into PowerPoint","Vložení excelových dat do PowerPointu",
"Print presentations","Tisk prezentací",
"Create a presentation","Vytvoření prezentace",
"Layer objects on slides","Objekty vrstev na snímcích",
"Record a presentation","Záznam prezentace",
"Design","Navrhnout",
"Set text direction and position in a shape or text box","Nastavení směru a umístění textu v obrazci nebo textovém poli",
"Remove personal information","Odebrání osobních údajů",
"Split a table over two slides","Rozdělení tabulky na dva snímky",
"Organize slides into sections","Uspořádání snímků do oddílů",
"Format pictures on slides","Formátování obrázků na snímcích",
"Create a self-running presentation","Vytvoření samoobslužné prezentace",
"Add a table to a slide","Přidání tabulky do snímku",
"Rotate or flip objects","Otáčení nebo překlápění objektů",
"Change slide masters","Změna předloh snímků",
"Record your screen in PowerPoint","Nahrávání obrazovky v PowerPointu",
"Add, reply to, or delete comments","Přidání, odpověď nebo odstranění komentářů",
"Align and arrange objects","Zarovnání a uspořádání objektů",
"What is PowerPoint?","Co je PowerPoint?",
"Add speaker notes","Přidání poznámek lektora",
"Get design ideas for slides","Získání nápadů na návrh snímků",
"Add a hyperlink to a slide","Přidání hypertextového odkazu na snímek",
"Add pictures to slides","Přidání obrázků do snímků",
"Add animations to slides","Přidání animací do snímků",
"Practice and time your presentations","Procvičte si a namažte své prezentace",
"Change handwritten ink to shapes, text, or math in PowerPoint for Microsoft 365","Změna ručně psaného rukopisu na obrazce, text nebo matematiku v PowerPointu pro Microsoft 365",
"Add, rearrange, duplicate, and delete slides in PowerPoint","Přidání, změna uspořádání, duplikování a odstranění snímků v PowerPointu",
"Insert a video from YouTube or another site","Vložení videa z YouTube nebo jiného webu",
"Apply Themes to presentations","Použití motivů u prezentací",
"What is a slide master?","Co je předloha snímků?",
"Choose the right view for the task","Výběr správného zobrazení úkolu",
"Add a background picture to slides","Přidání obrázku pozadí k snímkům",
"Rotate or flip an object","Otočení nebo převrácení objektu",
"Add slide numbers, page numbers, or the date and time","Přidání čísel snímků, čísel stránek nebo data a času",
"Save presentations as videos","Ukládání prezentací jako videí",
"Add, format, and record video","Přidání, formátování a nahrávání videa",
"Give a presentation in PowerPoint","Prezentace v PowerPointu",
"Check spelling in your presentation","Kontrola pravopisu v prezentaci",
"Add a logo to your slides","Přidání loga do snímků",
"Apply or change a slide layout","Použití nebo změna rozložení snímku",
"Add transitions between slides","Přidání přechodů mezi snímky",
"Create a SmartArt graphic","Vytvoření obrázku SmartArt",
"Add or delete audio in your PowerPoint presentation","Přidání nebo odstranění zvuku v powerpointové prezentaci",
"Morph your slides","Morfujte snímky",
"Save PowerPoint presentations as PDF files","Uložení powerpointových prezentací jako souborů PDF",
"Share a presentation","Sdílení prezentace",
"Start the presentation and see your notes in Presenter view","Spuštění prezentace a zobrazení poznámek v zobrazení prezentujícího",
"Share files and folders","Sdílení souborů a složek",
"Set up your Android phone or tablet","Nastavení telefonu nebo tabletu Android",
"What is OneDrive?","Co je OneDrive?",
"OneDrive basics","Základy OneDrivu",
"Sync files with OneDrive Files on Demand","Synchronizace souborů se soubory OneDrivu na vyžádání",
"Restore your OneDrive","Obnovení OneDrivu",
"Set up OneDrive on your phone or tablet","Nastavení OneDrivu na telefonu nebo tabletu",
"Sync OneDrive files and folders","Synchronizace souborů a složek OneDrivu",
"Turn on OneDrive Backup","Zapnutí zálohování na OneDrivu",
"Use the OneDrive mobile app","Použití mobilní aplikace OneDrive",
"OneDrive Basics","Základy OneDrivu",
"Upload files and folders","Nahrání souborů a složek",
"Work on the go","Práce na cestách",
"Stay connected with OneDrive","Zůstaňte ve spojení s OneDrivem",
"Set up your iPhone or iPad","Nastavení iPhonu nebo iPadu",
"Manage Files","Správa souborů",
"Create files and folders","Vytváření souborů a složek",
"What happens when you delete files","Co se stane, když odstraníte soubory",
"Upload files","Vkládat",
"Get Started with OneDrive","Začínáme s OneDrivem",
"Delete and restore deleted files","Odstranění a obnovení odstraněných souborů",
"PowerPoint for the web: Insert pictures, shapes, and more","PowerPoint pro web: Vkládání obrázků, obrazců a dalších obsahů",
"Office for the web: Create new documents","Office pro web: Vytváření nových dokumentů",
"Excel for the web: Insert a PivotTable","Excel pro web: Vložení kontingenční tabulky",
"PowerPoint for the web: Designing slides","PowerPoint pro web: Navrhování snímků",
"Excel for the web: Get insight with ideas","Excel pro web: Získání přehledu o nápadech",
"PowerPoint for the web: Get to know PowerPoint for the Web","PowerPoint pro web: Se setěšte PowerPoint pro web",
"PowerPoint for the web: When you're ready to present","PowerPoint pro web: Až budete připraveni prezentovat",
"Word for the web: Cool things in Word for the web","Word pro web: Skvělé věci ve Wordu pro web",
"Excel for the web: Get to know Excel for the web","Excel pro web: Se setknutí Excelu pro web",
"Office for the Web: Find it with Search","Office pro web: Najděte ho pomocí vyhledávání",
"PowerPoint for the web: Animations and transitions","PowerPoint pro web: Animace a přechody",
"Excel for the web: Paint a picture with Conditional Formatting","Excel pro web: Malování obrázku pomocí podmíněného formátování",
"Office for the web: Secure your docs only to specific people","Office pro web: Zabezpečte dokumenty jenom pro konkrétní lidi",
"Office for the web: Recommended files","Office pro web: Doporučené soubory",
"Office for the Web: Get back to your work","Office pro web: Návrat k práci",
"Word for the web: Get to know Word for the web","Word pro web: Se sekřik ve Wordu pro web",
"Office for the Web: Get started","Office pro web: Začínáme",
"Office for the web: Create a shareable link","Office pro web: Vytvoření odkazu ke sdílení",
"Word for the web: Change document layout","Word pro web: Změna rozložení dokumentu",
"Office for the web: Share with someone outside your organization","Office pro web: Sdílení s někým mimo vaši organizaci",
"Excel for the web: Save time with Flash Fill","Excel pro web: Ušetřete čas s výplní Flashem",
"PowerPoint for the web: Create a presentation with others","PowerPoint pro web: Vytvoření prezentace s ostatními",
"Word for the web: Collaborate online","Word pro web: Spolupráce online",
"Outlook for the Web: Get to know Outlook for the Web","Outlook pro web: Se setěšte Outlook pro web",
"Excel for the web: Collaborate","Excel pro web: Spolupráce",
"Outlook for the web: Create a signature and automatic reply","Outlook pro web: Vytvoření podpisu a automatické odpovědi",
"Excel for the web: Create formulas","Excel pro web: Vytváření vzorců",
"Outlook for the web: Create and reply to email","Outlook pro web: Vytváření e-mailů a odpovídání na ně",
"Word for the web: Transcribe your recordings","Word pro web: Přepis nahrávek",
"Word for the web: Insert tables and pictures","Word pro web: Vložení tabulek a obrázků",
"Get to know database objects","Setktení databázových objektů",
"Create queries with more than one data source","Vytváření dotazů s více než jedním zdrojem dat",
"Add a primary key","Přidání primárního klíče",
"Link to shared data","Odkaz na sdílená data",
"Get started with table relationships","Začínáme se relacemi tabulek",
"Create queries with outer joins","Vytváření dotazů s vnějšími spoji",
"Create basic queries","Vytvoření základních dotazů",
"Get started with queries","Začínáme s dotazy",
"Create relationships with the Lookup Wizard","Vytvoření vztahů s Průvodcem vyhledáváním",
"Combine fields using the Calculated data type","Kombinování polí pomocí počítaného datového typu",
"Create basic reports","Vytvoření základních sestav",
"Create an Access web app","Vytvoření webové aplikace pro Access",
"Get started with databases","Začínáme s databázemi",
"Create relationships with the Relationships Pane","Vytvoření vztahů s podoknem Relace",
"Create a bar chart","Vytvoření pruhového grafu",
"Create a combo chart","Vytvoření kombinovaného grafu",
"Backup your database","Zálohování databáze",
"Build tables and set data types","Vytváření tabulek a nastavení datových typů",
"Create a pie chart","Vytvoření výsečového grafu",
"Back up databases","Zálohovat databáze",
"Create a column chart","Vytvoření sloupcového grafu",
"Create one-to-one relationships","Vytvoření vztahů 1:1",
"Create many-to-many relationships","Vytvoření vztahů N:N",
"Copy data from Excel","Kopírování dat z Excelu",
"What is Access","Co je přístup",
"Query unrelated data sources","Dotazovat se na nesouvisející zdroje dat",
"Create navigation forms","Vytvoření navigačních formulářů",
"Create a query, form, or report in Access","Vytvoření dotazu, formuláře nebo sestavy v Accessu",
"Modify and print reports","Úpravy a tisk sestav",
"Create a line chart","Vytvoření řádku",
"Create an Access desktop database","Vytvoření desktopové databáze Accessu",
"Integrate Yammer","Integrace Yammeru",
"What is Yammer?","Co je Yammer?",
"Set notifications","Nastavení oznámení",
"Sign in and edit your profile","Přihlášení a úprava profilu",
"Post an update and attach files","Zveřejnit aktualizační a připojit soubory",
"Like, reply to, and share posts","To se mi líbí, odpovídání na příspěvky a sdílení příspěvků",
"Create and edit files","Vytváření a úpravy souborů",
"Join a community","Připojení ke komunitě",
"Edit notifications and receive announcements","Úpravy oznámení a přijímání oznámení",
"Create a community for a use case","Vytvoření komunity pro případ použití",
"Educate users","Vzdělávat uživatele",
"Join the conversation","Připojení ke konverzaci",
"Plan your strategy","Naplánujte si strategii",
"Identify the right use cases","Určení správných případů použití",
"Discover communities","Objevte komunity",
"Keep it going","Udržujte to v tom",
"Drive ongoing engagement","Podněďte trvalou angažovanost",
"Join and create groups","Připojení a vytváření skupin",
"Personalize a Yammer Network","Přizpůsobení sítě Yammer",
"Start a conversation","Zahájení konverzace",
"Change my Yammer profile and settings","Změna profilu a nastavení Yammeru",
"Discover and search in Yammer","Objevování a vyhledávání v Yammeru",
"Prepare for launch","Připravte se na start",
"Measure success","Měření úspěchu",
"Share files and group resources","Sdílení souborů a skupinových prostředků",
"Create, upload, and share files in a document library","Vytváření, nahrávání a sdílení souborů v knihovně dokumentů",
"Add or remove a news post","Přidání nebo odebrání diskusní příspěvku",
"Discover","Objevit",
"Use, filter, and update a list","Použití, filtrování a aktualizace seznamu",
"Stay connected on mobile","Zůstaňte ve spojení na mobilu",
"Find and follow sites and news","Vyhledání a sledování webů a zpráv",
"Create a site","Vytvoření webu",
"Find and follow sites, news, and content","Vyhledání a sledování webů, zpráv a obsahu",
"Create a SharePoint Team or Communication site","Vytvoření sharepointového týmu nebo komunikačního webu",
"Sync files with Files on Demand","Synchronizace souborů se soubory na vyžádání",
"Explore your team site","Prozkoumejte týmový web",
"Sync SharePoint files and folders","Synchronizace sharepointových souborů a složek",
"Sync files with Files On-Demand","Synchronizace souborů se soubory na vyžádání",
"Create and share files in a library","Vytváření a sdílení souborů v knihovně",
"Create a page","Vytvoření stránky",
"What is SharePoint?","Co je SharePoint?",
"What is SharePoint Online?","Co je SharePoint Online?",
"Restore a shared library","Obnovení sdílené knihovny",
"Tips for Teams meetings","Tipy pro schůzky v Teams",
"Manage a Shifts schedule","Správa plánu směn",
"What is Microsoft Teams?","Co je Microsoft Teams?",
"What is Approvals?","Co je schválení?",
"Use apps","Používání aplikací",
"Make calls","Volání",
"Meet in a channel","Setkání v kanálu",
"Create an approval from a chat","Vytvoření schválení z chatu",
"Organize your teams list","Uspořádání seznamu týmů",
"Get your team up and running","Zhoute svůj tým",
"Use the command box","Použití příkazového pole",
"Work with external guests","Práce s externími hosty",
"Set up a delegate to take your calls","Nastavení delegáta pro volání",
"Get attention with @mentions","Přitáhne pozornost @mentions",
"Move around during a Teams meeting","Pohyb během schůzky Teams",
"Create and format a post","Vytvoření a formátování příspěvku",
"Create and use private channels","Vytváření a používání soukromých kanálů",
"Activity feed on the go","Informační kanál o aktivitách na cestách",
"Save a post or a message","Uložení příspěvku nebo zprávy",
"Create a channel on the go","Vytvoření kanálu na cestách",
"Show your screen during a meeting","Zobrazení obrazovky během schůzky",
"Add tabs to teams","Přidání karet do týmů",
"Upload and share files","Nahrávání a sdílení souborů",
"Start and pin chats","Zahájení a připnutí chatů",
"What is Shifts?","Co jsou směny?",
"Turn a file into a tab","Přepnout soubor na kartu",
"Start a chat on the go","Zahájení chatu na cestách",
"Sign in and get started","Přihlaste se a začínáme",
"Join a meeting on the go","Připojení ke schůzce na cestách",
"Plan and schedule a live event","Plánování a naplánování živé události",
"Join a Teams meeting","Připojení ke schůzce Teams",
"Hide chats, delete messages","Skrytí chatů, odstranění zpráv",
"Manage meetings","Správa schůzek",
"Manage notifications on the go","Správa oznámení na cestách",
"Work in channels","Práce v kanálech",
"Welcome to Teams","Vítejte v Teams",
"Create instant meetings with Meet now","Vytvoření rychlých schůzek se meetem",
"Filter your activity feed","Filtrování informačního kanálu o aktivitách",
"Walkie Talkie","Vysílačka",
"Go-to guide for team owners","Průvodce pro majitele týmů",
"Show and hide channels","Zobrazení a skrytí kanálů",
"Use the Tasks app in Teams","Použití aplikace Úkoly v Teams",
"Post a message to multiple channels","Odeslat zprávu do více kanálů",
"Start chats and make calls","Zahájení chatů a volání",
"Show PowerPoint slides","Zobrazení powerpointových snímků",
"Welcome to Microsoft Teams","Vítá vás Microsoft Teams",
"Schedule meetings","Naplánování schůzek",
"Create a Shifts schedule","Vytvoření plánu směn",
"Overview of teams and channels","Přehled týmů a kanálů",
"Shifts for Firstline workers","Směny pro pracovníky firstline",
"Moderating a Q&A","Moderování otázky a odpovědi",
"Create a plan with Planner","Vytvoření plánu pomocí plánovače",
"Chat and share files","Chatování a sdílení souborů",
"Find and filter files","Hledání a filtrování souborů",
"Attend a live event","Zúčastněte se živé události",
"Create an e-sign approval","Vytvoření schválení elektronického podpisu",
"Produce a live event","Vytvoření živé události",
"Manage notification settings","Správa nastavení oznámení",
"Work on a file together","Práce na souboru společně",
"Tip: Send email to a channel","Tip: Odeslání e-mailu na kanál",
"Shifts for managers","Směny pro manažery",
"Create an approval","Vytvoření schválení",
"Import contacts","Import kontaktů",
"Organize email by using folders","Uspořádání e-mailů pomocí složek",
"What is Outlook","Co je Outlook",
"Search for calendar items","Hledání položek kalendáře",
"Add a contact","Přidání kontaktu",
"Ignore conversations","Ignorovat konverzace",
"Clean up your inbox","Vyčištění doručené pošty",
"Share your calendar","Sdílení kalendáře",
"Create an email signature","Vytvoření podpisu e-mailu",
"Search and filter email","Hledání a filtrování e-mailů",
"Create a contact group","Vytvoření skupiny kontaktů",
"Set up Gmail accounts","Nastavení účtů Gmail",
"Schedule an online meeting","Naplánování schůzky v režimu online",
"Use calendar categories and reminders","Použití kategorií kalendáře a připomínek",
"Manage calendar and contacts","Správa kalendáře a kontaktů",
"Create tasks and a to-do list","Vytvoření úkolů a seznamu úkolů",
"Create appointments and meetings","Vytváření schůzek a schůzek",
"Welcome to your calendar","Vítá vás váš kalendář",
"How to set up rules","Jak nastavit pravidla",
"Add an Outlook.com or Microsoft 365 account","Přidání účtu Outlook.com nebo Microsoftu 365",
"Retract or replace a sent email","Odvolání nebo nahrazení odeslané e-mailu",
"Import calendars","Import kalendářů",
"Export contacts","Export kontaktů",
"Set categories, flags, reminders, or colors","Nastavení kategorií, příznaků, připomínek nebo barev",
"Welcome to your inbox","Vítejte ve schránce",
"Set-up an automatic reply","Nastavení automatické odpovědi",
"Sending and receiving attachments","Odesílání a přijímání příloh",
"Add an email account","Přidání e-mailového účtu",
"Group or ungroup data in a PivotTable","Seskupení nebo oddělení dat v kontingenční tabulce",
"Change the column width or row height","Změna šířky sloupce nebo výšky řádku",
"Insert or delete rows or columns","Vložení nebo odstranění řádků nebo sloupců",
"Calculate the difference between two dates","Výpočet rozdílu mezi dvěma daty",
"Save your workbook to OneDrive","Uložení sešitu na OneDrive",
"Split data into different columns","Rozdělení dat do různých sloupců",
"Move or copy cells and cell contents","Přesunutí nebo zkopírovaní buněk a obsahu buněk",
"Find or replace text and numbers on a worksheet","Vyhledání nebo nahrazení textu a čísel na listu",
"Analyze and format","Analýza a formátování",
"Combine text from two or more cells into one cell","Zkombinování textu ze dvou nebo více buněk do jedné buňky",
"Tasks for managers","Úkoly pro manažery",
"Use the Field List to arrange fields in a PivotTable","Uspořádání polí v kontingenční tabulce pomocí seznamu polí",
"Display or hide zero values","Zobrazení nebo skrytí nulových hodnot",
"Tasks for Firstline workers","Úkoly pro pracovníky firstline",
"Add a watermark in Excel","Přidání vodoznaku v Excelu",
"SUMIFS","SUMIFS",
"Filter data in a PivotTable","Filtrování dat v kontingenční tabulce",
"Show or hide a chart legend","Zobrazení nebo skrytí legendy grafu",
"Create a chart from start to finish","Vytvoření grafu od začátku do konce",
"Outlook for the web: Create and edit a contact","Outlook pro web: Vytvoření a úprava kontaktu",
"Fill data automatically in worksheet cells","Automatické vyplnění dat v buňkách listu",
"Select cell contents in Excel","Výběr obsahu buňky v Excelu",
"Analyze your data quickly","Rychlé analýzy dat",
"Use slicers to filter data","Filtrování dat pomocí průřezů",
"Filter for unique values or remove duplicate values","Filtrování jedinečných hodnot nebo odebrání duplicitních hodnot",
"IF","KDYŽ",
"Add or remove a secondary axis in a chart in Excel","Přidání nebo odebrání vedlejší osy v grafu v Excelu",
"How to use linked data types in Excel","Použití propojených datových typů v Excelu",
"Align or rotate text in a cell","Zarovnání nebo otočení textu v buňce",
"Move or copy worksheets or worksheets data","Přesunutí nebo zkopírovaní listů nebo dat listů",
"Share a workbook","Sdílení sešitu",
"Add or remove titles in a chart","Přidání nebo odebrání názvů v grafu",
"Lock or unlock specific areas of a protected worksheet","Uzamčení nebo odemknutí určitých oblastí zamkčeného listu",
"Copy cell formatting","Kopírování formátování buněk",
"Communication and Praise","Komunikace a chvála",
"VLOOKUP","SVYHLEDAT",
"Comments and notes","Komentáře a poznámky",
"SUM function","SUMA",
"Update the data in an existing chart","Aktualizace dat v existujícím grafu",
"Overview of formulas in Excel","Přehled vzorců v Excelu",
"Protect an Excel file","Ochrana excelového souboru",
"MATCH function","FUNKCE MATCH",
"Create a PivotTable to analyze worksheet data","Vytvoření kontingenční tabulky pro analýzu dat listu",
"Conditional Formatting","Podmíněné formátování",
"Collaborate on Excel workbooks at the same time with co-authoring","Spolupráce na excelových sešitech současně se spolutvářit",
"See files others have shared with you","Zobrazit soubory, které s vámi ostatní sdíleli",
"Convert text to an Organization data type","Převod textu na datový typ organizace",
"Sort data in a table","Řazení dat v tabulce",
"Filter data in a range or table","Filtrování dat v oblasti nebo tabulce",
"Validate cell data","Ověření dat buňky",
"Create a workbook","Vytvoření sešitu",
"Insert or delete a worksheet","Vložení nebo odstranění listu",
"SUMIF","SUMIF",
"Define and use names in formulas","Definování a použití názvů ve vzorcích",
"Add a trend or moving average line to a chart","Přidání spojnice trendu nebo přesunutí průměru do grafu",
"Create a list of sequential dates","Vytvoření seznamu sekvenčních kalendářních dat",
"Use Sparklines to show data trends","Zobrazení datových trendů pomocí minigrafů",
"Freeze columns or rows","Zmrazení sloupců nebo řádků",
"Create a workbook in Excel","Vytvoření sešitu v Excelu",
"Hide or show rows or columns","Skrytí nebo zobrazení řádků nebo sloupců",
"XLOOKUP","XLOOKUP",
"Total the data in an Excel table","Sečetnutí dat v excelové tabulce",
"IFS","IFS",
"Merge and unmerge cells","Sloučení a rozbalování buněk",
"Save or convert to PDF","Uložení nebo převod do PDF",
"Outlook for the web: Schedule an appointment or meeting","Outlook pro web: Naplánování události nebo schůzky",
"Create a custom number format","Vytvoření vlastního formátu čísla",
"Automatically number rows","Automatické číslní řádky",
"Import or export text","Import nebo export textu",
"Create a database","Vytvoření databáze",
"Create and format tables","Vytváření a formátování tabulek",
"Create a drop-down list","Vytvoření rozevírací seznam",
"Use the Data Selector to specify Organization data types","Pomocí selektoru dat určete datové typy organizace.",
"Change the format of a cell","Změna formátu buňky",
"Create a PivotChart","Vytvoření kontingenčního grafu",
"Outlook for the web: Search for email, contacts, and events","Outlook pro web: Hledání e-mailů, kontaktů a událostí",
"View and insert data from an Organization data type","Zobrazení a vložení dat z datového typu Organizace",
"Print a worksheet or workbook","Tisk listu nebo sešitu",
"Outlook for the web: Organize your Inbox","Outlook pro web: Uspořádání doručené pošty",
"Available number formats in Excel","Dostupné formáty čísel v Excelu",
"COUNTIF function","COUNTIF",
"Use Excel as your calculator","Použití Excelu jako kalkulačky",
"Share files in Microsoft 365","Sdílení souborů v Microsoftu 365",
"The dangers of oversharing","Nebezpečí přílišné sdílení",
"PowerPoint Designer","PowerPoint Designer",
"Use live events to reach large audiences","Použití živých událostí k oslovní velkých okruhů uživatelů",
"Turn on the Focus assistant in Windows","Zapnutí Asistenta fokusu ve Windows",
"Develop impactful content","Vývoj dopadu na obsah",
"Reduce or replace meetings with asynchronous collaboration","Omezení nebo nahrazení schůzek asynchronní spoluprací",
"Save time","Ušetřit čas",
"Resources for learning pathways","Zdroje pro výukové cesty",
"Keep your computer safe at home","Udržujte počítač v bezpečí doma",
"OneDrive mobile app","Mobilní aplikace OneDrive",
"Manage notifications in Teams","Správa oznámení v Teams",
"Find your documents, apps, and more with Search","Vyhledání dokumentů, aplikací a dalších informací pomocí funkce Hledat",
"Optimize team conversations","Optimalizace týmových konverzací",
"Schedule a live event in Yammer using Teams","Naplánování živé události v Yammeru pomocí Teams",
"What is cybersecurity?","Co je kybernetická bezpečnost?",
"Express yourself freely with digital ink","Vyjádřte se svobodně digitálním inkoustem",
"Reduce meeting fatigue","Snížení únavy ze schůzky",
"Start your digital day","Začněte svůj digitální den",
"Make your content accessible","Zpřístupnění obsahu",
"Plan and schedule a live event in Teams","Plánování a naplánování živé události v Teams",
"Protect your PC from ransomware","Chraňte svůj počítač před ransomwarem",
"Meeting checklist","Kontrolní seznam schůzky",
"Drive adoption of learning pathways","Podněďte přijetí způsobů učení",
"Protect yourself from tech support scams","Chraňte se před podvody s technickou podporou",
"Keep your computer secure at work","Udržujte počítač v bezpečí v práci",
"Microsoft 365 for business","Microsoft 365 pro firmy",
"Using Office.com apps","Používání Office.com aplikací",
"Personal productivity in the hybrid workplace","Osobní produktivita na hybridním pracovišti",
"Create a communication contract with your team","Vytvoření komunikační smlouvy s týmem",
"Add and edit the web part","Přidání a úprava webové části",
"Build empathy across time zones","Budování empatie napříč časovými pásmy",
"Schedule effective meetings","Naplánování efektivních schůzek",
"Organize a live event in Yammer","Uspořádání živé události v Yammeru",
"What is: Multi-factor Authentication?","Co je: Vícefaktorové ověřování?",
"Best practices for collaborating in M365","Doporučené postupy pro spolupráci v M365",
"Where is the web part?","Kde je webová část?",
"Plan and lead effective meetings","Plánování a vedení efektivních schůzek",
"During your commute","Během dojíždění",
"SharePoint: Your company's home base","SharePoint: Domovská základna vaší společnosti",
"Prevent changes to security settings with Tamper Protection","Zabránění změnám nastavení zabezpečení pomocí ochrany proti neoprávněné manipulaci",
"Outlook mobile app","Mobilní aplikace Outlook",
"Create","Vytvářet",
"How malware can infect your PC","Jak může malware infikovat váš počítač",
"Office.com","Office.com",
"Take breaks and schedule personal time","Udělejte si přestávky a naplánte si osobní čas",
"Team productivity in the hybrid workplace","Týmová produktivita na hybridním pracovišti",
"Collaborate on files","Spolupráce na souborech",
"Meeting at the office","Setkání v kanceláři",
"Create a custom playlist","Vytvoření vlastního seznamu stop",
"Customize the site","Přizpůsobení webu",
"Microsoft Search in Bing","Hledání Microsoftu v Bingu",
"November 2019 Version 3.0 feature updates","Aktualizace funkcí verze 3.0 z listopadu 2019",
"Ideas in Excel","Nápady v Excelu",
"Make meetings and related content accessible for all","Zpřístupnění schůzek a souvisejícího obsahu všem",
"Collaborate in OneDrive","Spolupráce na OneDrivu",
"Staying connected in the hybrid workplace","Zůstat ve spojení na hybridním pracovišti",
"Document collaboration and co-authoring","Spolupráce na dokumentech a spolutváce",
"Limit distractions in meetings","Omezení rozptylování při schůzkách",
"Best practices for collaborating: Overview","Doporučené postupy pro spolupráci: Přehled",
"Access the Administration page","Přístup na stránku Správa",
"Excel data types: Stocks and geography","Datové typy Excelu: Akcie a geografie",
"Collaborating with colleagues","Spolupráce s kolegy",
"Co-author","Spoluautor",
"Work from home more securely","Bezpečnější práce z domova",
"Measure the impact of learning pathways","Měření dopadu způsobů učení",
"Protect yourself from phishing","Chraňte se před phishingem",
"Protect yourself from Phishing","Chraňte se před phishingem",
"Stay secure and private at work","Zůstaňte v bezpečí a soukromí v práci",
"Keep your PC up to date","Udržujte počítač aktuální",
"April 2020 content update","Aktualizace obsahu z dubna 2020",
"Introduction to well-being in the hybrid workplace","Úvod do pohody na hybridním pracovišti",
"Start conversations in Teams","Zahájení konverzací v Teams",
"Add assets to a playlist","Přidání datových zdrojů do seznamu stop",
"Drag messages from your personal mailbox to the group mailbox","Přetažení zpráv z osobní poštovní schránky do skupinové poštovní schránky",
"September 2020 content update","Aktualizace obsahu ze září 2020",
"Securing your device","Zabezpečení zařízení",
"Troubleshoot common co-authoring errors","Poradce při potížích s běžnými chybami při spolutváření",
"Connecting across the company","Propojení napříč společností",
